Error-kind,Action,Sorting,OWNER,Likelihood,Destructive,Action name,Action description,Action caveats,Action label,Description from code (parsed with Gemini),"ERROR STRING (Juan, unreviewed)",TRANSLATABLE USER OPTIONS  (from doc),Notes
ErrorKindRunningInVM,ActionProceed,48,Secboot,,No,Ignore,Ignoring the issue might result in a less secure installation.,,Ignore and continue,"Turn on the appropriate CheckFlags so that the corresponding errors are ignored. If multiple errors are returned with this action in a single call, then calling RunChecksContext.Run with it will result in all of those errors being ignored if no argument is supplied.",The current environment is a virtual machine.,I understand the risk and choose to ignore the error.,
ErrorKindSysPrepApplicationsPresent,ActionProceed,54,Secboot,,No,Ignore,Ignoring the issue might result in a less secure installation.,,Ignore and continue,"Turn on the appropriate CheckFlags so that the corresponding errors are ignored. If multiple errors are returned with this action in a single call, then calling RunChecksContext.Run with it will result in all of those errors being ignored if no argument is supplied.",There is software running at startup that might prevent a secure connection with the computer's TPM.,I understand the risk and choose to ignore the error.,
ErrorKindTPMStartupLocalityNotProtected,ActionProceed,50,Secboot,,No,Ignore,Ignoring the issue might result in a less secure installation.,,Ignore and continue,"Turn on the appropriate CheckFlags so that the corresponding errors are ignored. If multiple errors are returned with this action in a single call, then calling RunChecksContext.Run with it will result in all of those errors being ignored if no argument is supplied.",There is an issue with this computer's TPM. ,I understand the risk and choose to ignore the error.,
ErrorKindVARSuppliedDriversPresent,ActionProceed,52,Secboot,,No,Ignore,Ignoring the issue might result in a less secure installation.,,Ignore and continue,"Turn on the appropriate CheckFlags so that the corresponding errors are ignored. If multiple errors are returned with this action in a single call, then calling RunChecksContext.Run with it will result in all of those errors being ignored if no argument is supplied.",There is software running at startup that might prevent a secure connection with the computer's TPM.,I understand the risk and choose to ignore the error.,
ErrorKindWeakSecureBootAlgorithmsDetected,ActionProceed,56,Secboot,,No,Ignore,Ignoring the issue might result in a less secure installation.,,Ignore and continue,"Turn on the appropriate CheckFlags so that the corresponding errors are ignored. If multiple errors are returned with this action in a single call, then calling RunChecksContext.Run with it will result in all of those errors being ignored if no argument is supplied.",Some of the certificates verifying software in this computer are outdated or use weak protection.,I understand the risk and choose to ignore the error.,
ErrorKindRebootRequired,ActionReboot,15,Installer,,No,Restart,Restart the computer to complete previous actions.,"Then, you will need to start the installation again. Any progress will be lost.",Restart,Rebooting the device. Note that this is a pseudo-action. It cannot be performed by this package - the caller should trigger the reboot.,,"Reboot to complete the previous action.

(Installer should reboot)",
ErrorKindTPMDeviceFailure,ActionReboot,17,Installer,,No,Restart,Restarting the computer might fix the issue.,"Then, you will need to start the installation again. Any progress will be lost.",Restart,Rebooting the device. Note that this is a pseudo-action. It cannot be performed by this package - the caller should trigger the reboot.,There is an issue with this computer's TPM. ,"Reboot to see if that clears the failure.

(Installer should reboot)",
ErrorKindAbsolutePresent,ActionRebootToFWSettings,44,,,Yes?,Disable Absolute Persistence Module manually,You can do this in you computer's firmware settings.,"Then, you will need to start the installation again. Any progress will be lost.",Restart,Rebooting the device to the firmware settings in order to resolve a problem manually. Note that this is a pseudo-action. It cannot be performed by this package - the caller should trigger the reboot to FW settings.,Absolute Persistence Module is enabled in this computer.,"I will manually disable Absolute using the firmware settings UI. Reboot now.

<link to documentation>

(Installer should reboot)",
ErrorKindInsufficientDMAProtection,ActionRebootToFWSettings,37,Manual,,Yes?,Enable DMA protection manually,You can do this in your computer's firmware settings. Check the documentation from the computer vendor for guidance.,"Then, you will need to start the installation again. Any progress will be lost.",Restart,Rebooting the device to the firmware settings in order to resolve a problem manually. Note that this is a pseudo-action. It cannot be performed by this package - the caller should trigger the reboot to FW settings.,This computer is missing a required security feature (DMA protection).,"I will manually enable DMA protection using the firmware settings UI. Reboot now.

<link to documentation>

(Installer should reboot)",
ErrorKindInsufficientTPMStorage,ActionRebootToFWSettings,28,Manual,,Yes,Clear TPM manually,You can do this in you computer's firmware settings.,"Then, you will need to start the installation again. Any progress will be lost.",Restart,Rebooting the device to the firmware settings in order to resolve a problem manually. Note that this is a pseudo-action. It cannot be performed by this package - the caller should trigger the reboot to FW settings.,This computer's TPM does not have enough storage available.,"I will manually clear the TPM using the firmware settings UI. Reboot now.

<link to documentation>

(Installer should reboot)",
ErrorKindInvalidSecureBootMode,ActionRebootToFWSettings,47,Manual,,Yes?,Enable secure boot manually,"You can do this in you computer's firmware settings. Check secure boot mode is set to ""deployed"".","Then, you will need to start the installation again. Any progress will be lost.",Restart,Rebooting the device to the firmware settings in order to resolve a problem manually. Note that this is a pseudo-action. It cannot be performed by this package - the caller should trigger the reboot to FW settings.,Secure boot is disabled in this computer or is not set in deployed mode.,"I will manually configure secure boot using the firmware settings UI. Reboot now.

<link to documentation>

(Installer should reboot)",
ErrorKindNoKernelIOMMU,ActionRebootToFWSettings,39,Manual,,Yes?,Enable IOMMU manually,"You can do this in your computer's firmware settings. This feature might be referred to as ""Virtualization Technology"", ""VT-d"", ""AMD-Vi"" or ""SVM Mode"". Check the documentation from the computer vendor for guidance.","Then, you will need to start the installation again. Any progress will be lost.",Restart,Rebooting the device to the firmware settings in order to resolve a problem manually. Note that this is a pseudo-action. It cannot be performed by this package - the caller should trigger the reboot to FW settings.,This computer is missing a required security feature (IOMMU).,"I will manually enable DMA protection using the firmware settings UI. Reboot now.

<link to documentation>

(Installer should reboot)",
ErrorKindNoSuitablePCRBank,ActionRebootToFWSettings,31,Manual,,Yes?,Enable PCR banks manually,You can do this in your computer's firmware settings. Check the documentation from the computer vendor for guidance.,"Then, you will need to start the installation again. Any progress will be lost.",Restart,Rebooting the device to the firmware settings in order to resolve a problem manually. Note that this is a pseudo-action. It cannot be performed by this package - the caller should trigger the reboot to FW settings.,There is an issue with this computer's firmware. ,"I will manually enable other PCR banks using the firmware settings UI. Reboot now.

<link to documentation>

(Installer should reboot)",
ErrorKindTPMDeviceDisabled,ActionRebootToFWSettings,19,Manual,,No,Enable TPM manually,You can do this in you computer's firmware settings.,"Then, you will need to start the installation again. Any progress will be lost.",Restart,Rebooting the device to the firmware settings in order to resolve a problem manually. Note that this is a pseudo-action. It cannot be performed by this package - the caller should trigger the reboot to FW settings.,This computer's TPM is disabled.,"I will manually enable the TPM using the firmware settings. Reboot now.

<link to documentation>

(Installer should reboot)",Show instructions from documentation with QR code?
ErrorKindTPMDeviceLockoutLockedOut,ActionRebootToFWSettings,25,Manual,,Yes,Clear TPM manually,You can do this in you computer's firmware settings.,"Then, you will need to start the installation again. Any progress will be lost.",Restart,Rebooting the device to the firmware settings in order to resolve a problem manually. Note that this is a pseudo-action. It cannot be performed by this package - the caller should trigger the reboot to FW settings.,This computer's TPM is currently locked.,"I will manually clear the TPM using the firmware settings UI. Reboot now.

<link to documentation>

(Installer should reboot)",
ErrorKindTPMHierarchiesOwned,ActionRebootToFWSettings,22,Manual,,Yes,Clear TPM manually,You can do this in you computer's firmware settings.,"Then, you will need to start the installation again. Any progress will be lost.",Restart,Rebooting the device to the firmware settings in order to resolve a problem manually. Note that this is a pseudo-action. It cannot be performed by this package - the caller should trigger the reboot to FW settings.,This computer's TPM is already in use by another system or application.,"I will manually clear the TPM using the firmware settings UI. Reboot now.

<link to documentation>

(Installer should reboot)",
ErrorKindShutdownRequired,ActionShutdown,14,Manual,,No,Power off,Power off the computer to complete previous actions.,"Then, you will need to start the installation again. Any progress will be lost.",Power off,Shutting down the device. Note that this is a pseudo-action. It cannot be performed by this package - the caller should trigger the shutdown.,,"Shutdown to complete a previous action. I will manually power up after shutdown completes.

(Installer should shutdown)",
NONE,N/A,1,Installer,,,,,,,#N/A,Hardware-backed encryption is not available.,"Return to return to encryption and file system menu.

(Installer should return to encryption and file system menu", (unavailable-reason not empty and availability-check-errors empty)
UNKNOWN,N/A,2,Installer,,,,,,,#N/A,,"Return to return to encryption and file system menu.

(Installer should return to encryption and file system menu",
ANY,UNKNOWN,3,Installer,,,,,,,#N/A,,(Installer should Ignore unknown actions),
